sample,condition,timepoint,replicate,file1,file2
K562_2017_PRO_NHS_rep1,no_heat_shock,0,1,SRR4454567,
K562_2017_PRO_NHS_rep2,no_heat_shock,0,2,SRR4454568,
K562_2017_PRO_HS30min_rep1,heat_shock,30,1,SRR4454569,
K562_2017_PRO_HS30min_rep2,heat_shock,30,2,SRR4454570,
