sample,condition,timepoint,replicate,file1,file2
K562_PRO_NHS_rep1,no_heat_shock,0,1,SRR12267707,
K562_PRO_NHS_rep2,no_heat_shock,0,2,SRR12267708,
K562_PRO_HS12p5min_rep1,heat_shock,12.5,1,SRR12267709,
K562_PRO_HS12p5min_rep2,heat_shock,12.5,2,SRR12267710,
K562_PRO_HS25min_rep1,heat_shock,25,1,SRR12267711,
K562_PRO_HS25min_rep2,heat_shock,25,2,SRR12267712,
K562_PRO_HS40min_rep1,heat_shock,40,1,SRR12267713,
K562_PRO_HS40min_rep2,heat_shock,40,2,SRR12267714,
